mfcc_0_mean,mfcc_0_std,mfcc_1_mean,mfcc_1_std,mfcc_2_mean,mfcc_2_std,mfcc_3_mean,mfcc_3_std,mfcc_4_mean,mfcc_4_std,mfcc_5_mean,mfcc_5_std,mfcc_6_mean,mfcc_6_std,mfcc_7_mean,mfcc_7_std,mfcc_8_mean,mfcc_8_std,mfcc_9_mean,mfcc_9_std,mfcc_10_mean,mfcc_10_std,mfcc_11_mean,mfcc_11_std,mfcc_12_mean,mfcc_12_std,zcr_mean,zcr_std,spec_centroid_mean,spec_centroid_std,spec_rolloff_mean,spec_bandwidth_mean,rms_mean,rms_std,chroma_mean,label,label_idx
-478.0116,166.46149,41.06238,62.587776,-2.9822066,16.612764,8.509492,13.259995,-7.6978264,17.583654,4.0212116,8.644646,-9.278699,16.02178,-4.6642995,8.478748,-8.847791,15.015948,0.19290687,5.182243,3.5820396,8.069595,-6.7795496,10.9371395,-3.3335023,4.9736357,0.03947220725574713,0.04888824612072815,762.9555205208259,952.2241271644535,1579.967840786638,792.8465453728571,0.028667899,0.06532855,0.20135993,covid,0
-440.68857,169.28897,40.02389,56.828655,-8.571102,22.79009,12.364865,17.769714,-7.152219,16.364595,2.5853693,7.172613,-11.008267,16.817694,-6.0778766,9.297675,-8.372162,14.858081,3.1139164,5.188286,4.1110926,7.1962333,-7.95158,13.471632,-2.4687626,4.5160885,0.04623518318965517,0.049978167620388356,1053.5869508198684,1177.6634896341418,2204.3069773706898,1024.421926568864,0.03265062,0.07130445,0.23313306,covid,0
-448.62302,175.4753,43.600777,63.879204,-10.236236,22.100504,12.494465,19.927109,-6.23765,16.116943,1.262736,4.3379498,-10.0972595,17.096834,-5.0202904,7.8368144,-10.667941,17.482838,1.5676125,4.619524,2.1036668,5.2561746,-7.933342,12.4931135,-1.3378035,4.452259,0.030436197916666668,0.04121702205785004,658.1922210176517,925.5477680536708,1345.0826710668102,662.9849819504586,0.034776427,0.07346993,0.17724743,covid,0
-424.7979,184.34734,49.96998,64.270035,-15.06132,27.46094,13.943958,19.945606,-8.65053,19.21703,1.6562027,4.775247,-14.719473,21.49967,-5.214897,8.494476,-10.985653,15.789304,0.50494736,2.9947312,3.8570042,8.261338,-10.293338,14.569423,-0.2314702,3.6625695,0.05067461386494253,0.05916897963387246,960.8417938913158,1034.770314530453,1924.994106950431,914.0245113499415,0.038268138,0.06960331,0.22286138,covid,0
-433.21353,176.16321,49.38536,63.400913,-12.884513,28.393211,12.123097,16.908455,-7.7470827,15.446159,-0.7570602,4.4437037,-14.380099,19.549963,-7.0555043,8.926855,-15.361707,19.67257,0.31022272,4.4024115,5.919434,10.357407,-9.069437,15.1216345,0.11760626,5.5195293,0.0436871408045977,0.045837008314801544,964.4034573427326,1046.4328948450816,1967.8130051185344,956.0550860234393,0.034749374,0.06613282,0.218481,covid,0
-437.99258,189.86761,50.178474,66.47032,-12.276466,27.549515,14.42531,20.295237,-8.609622,17.320004,-1.0790668,7.514471,-15.426773,20.350298,-4.763435,8.2301445,-11.117988,14.654162,0.8200858,5.7395287,1.93673,6.7020707,-9.840659,13.92798,0.80784035,5.544072,0.03345568426724138,0.042059343415380784,743.949364170434,947.0942374161788,1504.601629849138,768.8179810349475,0.038068768,0.073546216,0.16497174,covid,0
-433.85718,185.46107,51.846252,64.968765,-8.629034,26.255663,15.121923,19.85785,-8.581669,18.78208,0.8324853,5.0732317,-14.881062,21.845642,-3.0303328,5.345594,-9.289177,12.23922,-0.014219087,5.630758,2.1938236,7.612571,-10.641169,14.23607,-1.006857,4.609158,0.046291307471264365,0.044180705806563726,1028.208361040573,949.6147076138083,2134.6334523168102,1070.9254164639597,0.04000319,0.07758265,0.25790024,covid,0
-418.84872,197.24652,46.132835,65.635666,-19.490246,32.213284,12.839995,20.020535,-12.039562,18.706303,1.29085,3.901877,-12.737837,18.23005,-1.8901013,7.326173,-10.098092,14.864179,0.74020314,3.8829427,4.1134977,7.8216734,-10.293315,14.933559,-0.10284145,2.1620474,0.03673895474137931,0.05622303856204036,676.7762261993657,1004.3386722007469,1372.8035762392242,635.5380838591013,0.04343319,0.07877089,0.15463087,covid,0
-512.71075,194.08784,37.04979,45.053238,-5.740994,34.03998,13.23211,19.870733,-11.956733,30.598324,6.0166492,11.217554,-11.192787,23.50425,4.757662,10.929158,-5.4467907,10.311172,-3.4395318,6.2471805,-0.65466285,6.438817,-1.7204801,4.354896,3.143804,6.7046432,0.07380343031609195,0.09337548552729504,1250.6120090678396,1322.1592290523572,2624.9469625538795,1117.777774266822,0.021052076,0.050656497,0.2861725,covid,0
-489.8178,213.11478,35.592186,56.86197,-16.767113,35.104897,6.471839,14.475268,-19.007526,33.66027,3.920842,9.559825,-11.521865,20.201792,5.266615,12.383353,-6.4085817,11.123603,-5.9785295,10.752129,0.990475,6.7952013,-1.4052975,4.6760254,1.899467,7.339258,0.04790207435344827,0.0763250566319921,859.3548394156792,1303.3880644041537,1678.4760573814656,707.9248142834424,0.03250706,0.06369697,0.1355892,covid,0
